index,origin,path_cluster,weight
107,nomon,3,1.078104e-62
108,nomon,3,9.856954e-63
109,nomon,3,1.848179e-63
110,nomon,3,1.771761e-57
111,nomon,3,1.771761e-57
112,nomon,3,8.775513e-59
113,nomon,3,2.001955e-57
114,nomon,3,1.972320e-58
115,nomon,3,2.536957e-58
116,nomon,3,1.972320e-58
117,nomon,3,1.972320e-58
118,nomon,3,5.420815e-57
119,nomon,3,1.793822e-56
120,nomon,3,7.610872e-58
121,nomon,3,7.610872e-58
122,nomon,3,5.307549e-58
123,nomon,3,1.273812e-56
124,nomon,3,1.550365e-56
125,nomon,3,2.537529e-56
126,nomon,3,2.537529e-56
127,nomon,3,2.537529e-56
128,nomon,2,2.708731e-58
129,nomon,2,4.899675e-58
130,nomon,2,4.899675e-58
131,nomon,2,4.899675e-58
132,nomon,2,4.899675e-58
133,nomon,2,7.620911e-60
134,nomon,2,1.610024e-59
135,nomon,2,1.144257e-58
136,nomon,2,3.220047e-59
137,nomon,2,6.096729e-59
138,nomon,2,6.440094e-59
139,nomon,2,1.932028e-58
140,nomon,2,1.932028e-58
141,nomon,2,1.144257e-58
142,nomon,2,3.861867e-58
143,nomon,2,1.545623e-57
144,nomon,2,1.544747e-57
145,nomon,2,4.119325e-57
146,nomon,2,4.737297e-56
147,nomon,2,2.187363e-57
148,nomon,2,2.610173e-57
149,nomon,2,6.178987e-57
150,nomon,2,9.175171e-59
151,nomon,2,9.175171e-59
152,nomon,2,9.175171e-59
153,nomon,2,3.142393e-57
154,nomon,2,6.426164e-58
155,nomon,1,3.747355e-76
156,nomon,1,3.747355e-76
157,nomon,1,3.747355e-76
158,nomon,1,3.747355e-76
159,nomon,3,2.159126e-56
160,nomon,2,1.651531e-57
161,nomon,1,1.498942e-75
162,nomon,2,1.927849e-57
163,nomon,2,1.090333e-56
164,nomon,2,3.523266e-56
165,nomon,2,2.642449e-56
166,nomon,2,8.808164e-57
167,nomon,2,2.642449e-56
168,nomon,2,2.642449e-56
169,nomon,2,2.642449e-56
170,nomon,2,2.642449e-56
171,nomon,2,5.645396e-56
172,nomon,2,5.645396e-56
173,nomon,2,2.642449e-56
174,nomon,2,2.642449e-56
175,nomon,2,1.063356e-55
176,nomon,2,1.056980e-55
177,nomon,2,1.056980e-55
178,nomon,2,1.056980e-55
179,nomon,1,1.964693e-70
180,nomon,2,4.639792e-55
181,nomon,1,3.929386e-70
182,nomon,1,1.571755e-69
183,nomon,1,1.571755e-69
184,nomon,1,6.287018e-69
185,nomon,2,9.477048e-58
186,nomon,2,6.589964e-55
187,nomon,2,9.477048e-58
188,nomon,2,9.477048e-58
189,nomon,2,9.477048e-58
190,nomon,2,1.927991e-54
191,nomon,2,3.790819e-57
192,nomon,1,4.023692e-67
193,nomon,2,5.033727e-55
194,nomon,2,1.887601e-55
195,nomon,2,9.742435e-55
196,nomon,2,4.914225e-55
197,nomon,2,5.110453e-58
198,nomon,2,5.110453e-58
199,nomon,2,2.483002e-55
200,nomon,2,2.414105e-55
201,nomon,2,3.637804e-54
202,nomon,2,3.849787e-55
203,nomon,2,3.849787e-55
204,nomon,2,2.763430e-57
205,nomon,2,1.363686e-54
206,nomon,2,1.958879e-54
207,nomon,2,6.665408e-55
208,nomon,2,1.363686e-54
209,nomon,2,3.637804e-54
210,nomon,1,1.771077e-56
211,nomon,1,1.771077e-56
212,nomon,2,2.164149e-55
213,nomon,2,1.082075e-55
214,nomon,2,4.328299e-55
215,nomon,2,4.328299e-55
216,nomon,1,2.286759e-55
217,nomon,1,1.143380e-55
218,nomon,1,4.573518e-55
219,nomon,1,4.573518e-55
220,nomon,1,4.952108e-55
221,nomon,1,5.099607e-54
222,nomon,1,1.418864e-53
223,nomon,1,4.456867e-54
224,nomon,1,2.700254e-59
225,nomon,1,2.700254e-59
226,nomon,1,5.400507e-59
227,nomon,1,3.874785e-54
228,nomon,1,4.320406e-57
229,nomon,1,4.320406e-57
230,nomon,1,4.320406e-57
231,nomon,1,1.728162e-56
232,nomon,1,6.912650e-56
233,wmon,3,1.717287e-60
234,wmon,3,5.366523e-62
235,wmon,3,5.366523e-62
236,wmon,3,5.366523e-62
237,wmon,3,2.146609e-61
238,wmon,3,2.097273e-60
239,wmon,3,8.687805e-61
240,wmon,3,2.097273e-60
241,wmon,3,1.351535e-60
242,wmon,3,5.898997e-61
243,wmon,3,1.755070e-59
244,wmon,3,2.654549e-60
245,wmon,3,2.343570e-59
246,wmon,3,3.185459e-59
247,wmon,3,3.141691e-60
248,wmon,3,2.618076e-61
249,wmon,3,6.283382e-60
250,wmon,3,5.203772e-59
251,wmon,3,2.696412e-59
252,wmon,3,9.425073e-60
253,wmon,3,1.000567e-58
254,wmon,3,1.715801e-58
255,wmon,3,3.770029e-59
256,wmon,3,3.751363e-59
257,wmon,3,3.018994e-58
258,wmon,3,1.509497e-58
259,wmon,3,9.401448e-58
260,wmon,3,1.987550e-57
261,wmon,3,3.975100e-57
262,wmon,3,1.987550e-57
263,wmon,3,3.975100e-57
264,wmon,3,3.975100e-57
265,wmon,3,7.950200e-57
266,wmon,3,4.833922e-57
267,wmon,3,3.625441e-57
268,wmon,3,3.625441e-57
269,wmon,3,3.625441e-57
270,wmon,3,3.625441e-57
271,wmon,3,2.900353e-56
272,wmon,3,6.602103e-55
273,wmon,3,6.215179e-55
274,wmon,2,6.525793e-56
275,wmon,2,6.525793e-56
276,wmon,2,6.817949e-55
277,wmon,3,8.161053e-54
278,wmon,2,2.610317e-55
279,wmon,2,2.610317e-55
280,wmon,3,4.080526e-54
281,wmon,2,5.130561e-54
282,wmon,2,5.220634e-55
283,wmon,2,1.392169e-54
284,wmon,3,1.243036e-54
285,wmon,3,4.652120e-55
286,wmon,3,4.652120e-55
287,wmon,3,5.826164e-56
288,wmon,2,5.883617e-54
289,wmon,3,2.509396e-54
290,wmon,2,5.130561e-54
291,wmon,3,3.495698e-55
292,wmon,3,3.495698e-55
293,wmon,3,3.495698e-55
294,wmon,3,2.509396e-54
295,wmon,3,1.609906e-55
296,wmon,3,1.609906e-55
297,wmon,3,1.609906e-55
298,wmon,3,1.609906e-55
299,wmon,2,5.771881e-54
300,wmon,3,5.243547e-55
301,wmon,3,3.573864e-54
302,wmon,3,3.573864e-54
303,wmon,3,1.398279e-54
304,wmon,3,1.607715e-54
305,wmon,3,4.044069e-54
306,wmon,2,3.463129e-53
307,wmon,3,2.810274e-54
308,wmon,3,1.931887e-54
309,wmon,3,3.240212e-54
310,wmon,3,8.038576e-55
311,wmon,3,7.727547e-54
312,wmon,3,6.749290e-54
313,wmon,2,5.771881e-54
314,wmon,2,5.771881e-54
315,wmon,3,3.215430e-54
316,wmon,3,3.215430e-54
317,wmon,3,6.749290e-54
318,wmon,3,8.389676e-54
319,wmon,3,8.389676e-54
320,wmon,3,8.389676e-54
321,wmon,3,8.389676e-54
322,wmon,2,1.772898e-54
323,wmon,3,3.355870e-53
324,wmon,2,5.642493e-53
325,wmon,2,1.741267e-50
326,wmon,2,3.585086e-51
327,wmon,2,1.434035e-50
328,wmon,2,1.434035e-50
329,wmon,2,3.037464e-51
330,wmon,2,4.689322e-54
331,wmon,2,1.876472e-53
332,wmon,2,4.730116e-54
333,wmon,2,4.730116e-54
334,wmon,2,4.730116e-54
335,wmon,2,1.875729e-53
336,wmon,2,3.037464e-51
337,wmon,2,7.502916e-53
338,wmon,2,7.502916e-53
339,wmon,1,1.121867e-75
340,wmon,2,5.023218e-50
341,wmon,2,1.457984e-49
342,wmon,2,1.028066e-49
343,wmon,2,1.028066e-49
344,wmon,2,1.635286e-49
345,wmon,3,8.820092e-62
346,wmon,3,8.820092e-62
347,wmon,3,3.528037e-61
348,wmon,3,3.528037e-61
349,wmon,3,7.056074e-61
350,wmon,3,7.056074e-61
351,wmon,3,7.056074e-61
352,wmon,3,2.822429e-60
353,wmon,3,2.822429e-60
354,wmon,3,1.128972e-59
355,wmon,3,4.515887e-59
356,wmon,1,7.528724e-68
357,wmon,1,1.505745e-67
358,wmon,1,1.505745e-67
359,wmon,3,9.248537e-56
360,wmon,3,2.301858e-54
361,wmon,3,2.301858e-54
362,wmon,3,2.301858e-54
363,wmon,3,3.699415e-55
364,wmon,3,3.699415e-55
365,wmon,3,6.083482e-54
366,wmon,1,4.818384e-66
367,wmon,3,1.479766e-54
368,wmon,3,1.479766e-54
369,wmon,3,1.578417e-53
370,wmon,1,7.709414e-65
371,wmon,1,3.083766e-64
372,wmon,1,3.083766e-64
373,wmon,1,3.083766e-64
374,wmon,1,3.083766e-64
375,wmon,1,7.692847e-65
376,wmon,2,2.397463e-52
377,wmon,2,2.397463e-52
378,wmon,2,2.397463e-52
379,wmon,2,4.010327e-52
380,wmon,2,4.010327e-52
381,wmon,2,7.192389e-52
382,wmon,2,7.192389e-52
383,wmon,2,2.525970e-52
384,wmon,2,5.809013e-50
385,wmon,2,3.802005e-51
386,wmon,2,6.202307e-51
387,wmon,3,1.557328e-50
388,wmon,2,6.202307e-51
389,wmon,2,6.202307e-51
390,wmon,3,1.557328e-50
391,wmon,2,1.880668e-50
392,wmon,2,1.535133e-50
393,wmon,2,2.316862e-55
394,wmon,2,6.950538e-55
395,wmon,2,1.409547e-51
396,wmon,2,3.475269e-55
397,wmon,2,2.819094e-51
398,wmon,2,4.171477e-54
399,wmon,2,5.214347e-55
400,wmon,2,5.214347e-55
401,wmon,2,6.450573e-53
402,wmon,2,5.560431e-54
403,wmon,1,4.383822e-61
404,wmon,2,2.085739e-54
405,wmon,2,3.154564e-50
406,wmon,2,8.992893e-51
407,wmon,2,8.992893e-51
408,wmon,2,1.668129e-53
409,wmon,2,2.224172e-53
410,wmon,2,4.477807e-50
411,wmon,1,1.772407e-61
412,wmon,1,7.089627e-61
413,wmon,2,8.734933e-52
414,wmon,2,8.734933e-52
415,wmon,2,8.007020e-52
416,wmon,2,6.987945e-51
417,wmon,2,6.987945e-51
418,wmon,2,3.493972e-51
419,wmon,2,3.493972e-51
420,wmon,1,4.901556e-59
421,wmon,1,8.445820e-62
422,wmon,1,3.367990e-55
423,wmon,1,6.313985e-56
424,wmon,1,6.313985e-56
425,wmon,1,4.714879e-54
426,wmon,1,2.525594e-55
427,wmon,1,1.010238e-54
428,wmon,1,1.010238e-54
429,wmon,1,1.684154e-54
430,wmon,1,1.684154e-54
431,wmon,1,8.252125e-54
432,wmon,1,6.736616e-54
433,wmon,1,4.040950e-54
434,wmon,1,4.040950e-54
435,wmon,1,4.040950e-54
436,wmon,1,3.030712e-53
437,wmon,1,1.616380e-53
438,wmon,1,7.676600e-53
439,wmon,1,6.465521e-53
440,wmon,1,1.515118e-54
441,wmon,1,1.515118e-54
442,wmon,1,1.515118e-54
443,wmon,1,9.696758e-53
444,wmon,1,9.696758e-53
445,wmon,1,9.696758e-53
446,wmon,1,7.757406e-52
447,wmon,1,1.038066e-55
448,wmon,1,3.323877e-64
449,wmon,1,4.058832e-56
450,wmon,1,8.106114e-56
451,wmon,1,4.058833e-56
452,wmon,1,4.058833e-56
453,wmon,1,4.058833e-56
454,wmon,1,1.623533e-55
455,wmon,1,1.623533e-55
456,wmon,1,1.623533e-55
457,wmon,1,1.623533e-55
458,wmon,1,1.948239e-54
459,wmon,1,1.948239e-54
460,wmon,1,8.947250e-55
461,wmon,1,1.184375e-53
462,wmon,1,1.128967e-53
463,wmon,1,8.467254e-54
464,wmon,1,5.941701e-54
465,wmon,1,3.386902e-53
466,wmon,1,2.379324e-54
467,wmon,1,9.517296e-54
468,wmon,1,2.575866e-53
469,wmon,1,3.578900e-54
470,wmon,1,3.578900e-54
471,wmon,1,9.136604e-53
472,wmon,1,2.284151e-53
473,wmon,1,2.284151e-53
474,wmon,1,2.284151e-53
475,wmon,1,7.309284e-52
476,wmon,1,7.309284e-52
477,wmon,1,7.309284e-52
478,wmon,1,1.461857e-51
479,wmon,1,1.461857e-51
480,wmon,1,1.461857e-51
