state_id,char,kind,rmsd_bin,ene_bin,dist_bin,n_nomon,n_wmon
615,'ͧ',grid,>10.50,-115.19--73.46,1.20-2.40,263,1928
616,'ͨ',grid,>10.50,-115.19--73.46,2.40-3.60,762,2257
617,'ͩ',grid,>10.50,-115.19--73.46,3.60-4.80,538,1771
618,'ͪ',grid,>10.50,-115.19--73.46,4.80-6.00,32,1085
621,'ͭ',grid,>10.50,-73.46--31.73,1.20-2.40,13748,4313
622,'ͮ',grid,>10.50,-73.46--31.73,2.40-3.60,4536,2846
623,'ͯ',grid,>10.50,-73.46--31.73,3.60-4.80,1704,1338
624,'Ͱ',grid,>10.50,-73.46--31.73,4.80-6.00,404,576
627,'ͳ',grid,>10.50,-31.73-10.00,1.20-2.40,12874,1853
628,'ʹ',grid,>10.50,-31.73-10.00,2.40-3.60,6624,1362
629,'͵',grid,>10.50,-31.73-10.00,3.60-4.80,974,632
630,'Ͷ',grid,>10.50,-31.73-10.00,4.80-6.00,431,364
633,'\u0379',grid,>10.50,10.00-33.31,1.20-2.40,1188,268
634,'ͺ',grid,>10.50,10.00-33.31,2.40-3.60,1446,1441
635,'ͻ',grid,>10.50,10.00-33.31,3.60-4.80,44,148
636,'ͼ',grid,>10.50,10.00-33.31,4.80-6.00,68,48
639,'Ϳ',grid,>10.50,33.31-56.62,1.20-2.40,3033,1
640,'\u0380',grid,>10.50,33.31-56.62,2.40-3.60,700,496
641,'\u0381',grid,>10.50,33.31-56.62,3.60-4.80,37,0
642,'\u0382',grid,>10.50,33.31-56.62,4.80-6.00,12,6
645,'΅',grid,>10.50,56.62-79.93,1.20-2.40,2796,411
646,'Ά',grid,>10.50,56.62-79.93,2.40-3.60,466,1096
647,'·',grid,>10.50,56.62-79.93,3.60-4.80,5,0
648,'Έ',grid,>10.50,56.62-79.93,4.80-6.00,15,0
651,'\u038b',grid,>10.50,79.93-103.24,1.20-2.40,699,0
658,'Β',grid,>10.50,103.24-126.55,2.40-3.60,233,0
